sl_no,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
21,M,49.05,Central,64.84,Central,Science,86.34,Comm&Mgmt,No,98.0,Mkt&Fin,52.89,Not Placed,294609.0
22,M,65.53,Others,37.0,Central,Science,77.59,Comm&Mgmt,No,98.0,Mkt&Fin,53.76,Not Placed,
23,M,40.89,Central,60.74,Others,Commerce,76.75,Comm&Mgmt,Yes,70.74,Mkt&HR,75.58,Placed,307644.0
24,M,72.36,Others,87.67,Central,Arts,77.8,Others,Yes,76.15,Mkt&Fin,63.5,Not Placed,285363.0
25,M,41.74,Others,37.0,Central,Science,56.87,Sci&Tech,No,74.02,Mkt&HR,77.89,Not Placed,
26,M,40.89,Others,55.1,Central,Commerce,83.77,Comm&Mgmt,No,58.64,Mkt&HR,58.44,Placed,
27,M,89.4,Others,82.02,Central,Commerce,87.32,Comm&Mgmt,No,66.62,Mkt&Fin,72.03,Placed,
28,M,44.0,Central,58.63,Central,Commerce,81.21,Comm&Mgmt,Yes,55.04,Mkt&HR,77.89,Not Placed,
29,M,86.51,Central,66.21,Others,Commerce,89.15,Comm&Mgmt,No,98.0,Mkt&Fin,77.6,Placed,323384.0
30,M,78.03,Others,46.32,Others,Commerce,86.07,Comm&Mgmt,No,98.0,Mkt&Fin,68.13,Placed,
31,M,89.4,Others,70.42,Others,Science,87.07,Sci&Tech,No,98.0,Mkt&Fin,71.61,Not Placed,329068.0
32,F,40.89,Central,37.0,Others,Arts,84.44,Comm&Mgmt,No,84.97,Mkt&HR,75.2,Not Placed,
33,M,85.55,Central,62.1,Central,Science,87.88,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Placed,
34,M,89.4,Central,87.56,Others,Science,74.71,Comm&Mgmt,Yes,72.8,Mkt&Fin,70.56,Not Placed,315854.0
35,M,81.02,Central,80.56,Central,Science,67.96,Comm&Mgmt,No,82.35,Mkt&Fin,67.5,Not Placed,218193.0
36,F,43.24,Others,42.72,Others,Arts,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,64.02,Not Placed,
37,M,40.89,Others,49.03,Central,Arts,52.4,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,270429.0
38,F,75.13,Central,83.74,Central,Commerce,80.94,Comm&Mgmt,No,76.88,Mkt&Fin,67.47,Not Placed,243740.0
39,M,89.4,Central,49.02,Others,Commerce,83.78,Comm&Mgmt,No,69.6,Mkt&Fin,54.98,Placed,292506.0
40,M,63.78,Central,68.41,Others,Arts,81.43,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,247926.0
41,F,74.51,Others,61.61,Central,Arts,70.62,Sci&Tech,No,98.0,Mkt&Fin,57.17,Placed,
42,F,53.94,Others,59.32,Central,Commerce,69.71,Comm&Mgmt,No,50.0,Mkt&HR,67.14,Not Placed,
43,M,67.89,Others,59.78,Central,Commerce,78.06,Comm&Mgmt,Yes,79.11,Mkt&HR,51.64,Not Placed,243721.0
44,F,40.89,Others,56.05,Others,Commerce,51.8,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
45,F,89.4,Others,69.08,Others,Science,87.81,Sci&Tech,No,74.16,Mkt&HR,72.06,Placed,201238.0
46,M,78.62,Central,72.02,Others,Commerce,80.45,Comm&Mgmt,Yes,82.62,Mkt&Fin,77.89,Placed,300637.0
47,M,57.27,Others,62.55,Others,Commerce,65.84,Comm&Mgmt,No,98.0,Mkt&Fin,54.63,Not Placed,
48,M,49.16,Others,77.05,Others,Science,64.84,Comm&Mgmt,No,69.47,Mkt&Fin,66.07,Not Placed,427486.0
49,M,77.67,Others,83.75,Central,Science,68.83,Comm&Mgmt,No,98.0,Mkt&Fin,68.16,Placed,200000.0
50,M,44.23,Others,78.67,Central,Commerce,54.83,Comm&Mgmt,No,90.96,Mkt&Fin,77.89,Not Placed,
51,F,89.4,Central,78.29,Others,Commerce,81.22,Sci&Tech,No,98.0,Mkt&Fin,65.02,Placed,279622.0
52,M,81.77,Central,64.55,Others,Commerce,80.53,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,475634.0
53,F,40.89,Central,53.61,Central,Science,69.54,Comm&Mgmt,No,59.91,Mkt&Fin,67.02,Not Placed,
54,M,82.24,Others,78.25,Central,Commerce,71.32,Comm&Mgmt,No,80.93,Mkt&HR,74.08,Not Placed,317058.0
55,M,40.89,Others,57.57,Central,Commerce,50.0,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Not Placed,
56,M,40.89,Others,58.85,Central,Science,78.06,Comm&Mgmt,No,98.0,Mkt&Fin,76.13,Not Placed,298131.0
57,M,60.57,Others,73.37,Others,Science,63.25,Comm&Mgmt,Yes,96.42,Mkt&Fin,75.73,Not Placed,
58,M,40.89,Central,52.96,Central,Science,86.58,Comm&Mgmt,No,72.39,Mkt&HR,77.89,Not Placed,
59,F,75.64,Others,57.07,Central,Science,76.91,Comm&Mgmt,Yes,98.0,Mkt&HR,67.62,Not Placed,
60,M,68.32,Central,67.47,Others,Science,73.88,Comm&Mgmt,Yes,69.89,Mkt&HR,71.85,Not Placed,293886.0
61,M,89.4,Others,61.13,Central,Science,87.09,Comm&Mgmt,Yes,93.76,Mkt&Fin,62.53,Not Placed,633090.0
62,M,89.4,Others,79.66,Central,Commerce,71.85,Comm&Mgmt,No,63.26,Mkt&Fin,68.34,Not Placed,333040.0
63,M,58.47,Others,44.35,Others,Science,83.1,Comm&Mgmt,No,62.48,Mkt&Fin,77.89,Not Placed,274893.0
64,M,56.68,Others,37.0,Others,Science,55.46,Others,No,98.0,Mkt&Fin,77.89,Not Placed,
65,M,40.89,Central,37.0,Central,Science,76.17,Sci&Tech,No,66.76,Mkt&HR,54.81,Not Placed,
66,M,89.4,Others,46.05,Others,Science,57.37,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Placed,302180.0
67,M,54.24,Central,66.76,Central,Commerce,59.09,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Placed,
68,M,80.76,Others,48.22,Others,Science,91.0,Comm&Mgmt,Yes,83.74,Mkt&HR,77.89,Not Placed,332109.0
69,M,40.89,Central,82.91,Central,Commerce,72.36,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,
70,M,87.97,Others,62.07,Central,Commerce,79.83,Comm&Mgmt,Yes,63.18,Mkt&Fin,77.89,Not Placed,
71,M,55.67,Others,91.12,Central,Science,51.25,Comm&Mgmt,No,67.68,Mkt&Fin,72.7,Not Placed,274885.0
72,M,49.98,Others,74.67,Central,Commerce,83.0,Comm&Mgmt,No,68.96,Mkt&HR,63.3,Placed,274805.0
73,M,79.51,Central,87.01,Central,Science,50.01,Comm&Mgmt,No,98.0,Mkt&Fin,64.62,Not Placed,311829.0
74,F,81.63,Central,78.0,Others,Commerce,56.25,Others,Yes,79.65,Mkt&HR,74.72,Not Placed,229700.0
75,F,40.89,Central,72.83,Central,Science,80.35,Comm&Mgmt,No,98.0,Mkt&Fin,74.92,Not Placed,
76,F,49.54,Central,86.24,Central,Science,62.46,Comm&Mgmt,No,82.49,Mkt&Fin,57.14,Not Placed,
77,F,48.81,Others,56.67,Central,Science,69.99,Comm&Mgmt,No,98.0,Mkt&HR,73.62,Not Placed,270961.0
78,M,47.15,Others,37.0,Central,Commerce,72.15,Comm&Mgmt,No,98.0,Mkt&HR,71.92,Placed,
79,M,55.48,Others,54.19,Central,Science,76.05,Comm&Mgmt,No,98.0,Mkt&HR,67.68,Placed,
80,M,77.34,Others,69.78,Others,Science,91.0,Comm&Mgmt,No,98.0,Mkt&HR,59.3,Not Placed,
81,M,82.86,Others,65.24,Others,Commerce,75.26,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,
82,M,71.97,Others,37.0,Central,Commerce,68.57,Comm&Mgmt,No,98.0,Mkt&HR,57.05,Not Placed,254599.0
83,F,89.4,Central,81.23,Central,Science,81.22,Comm&Mgmt,No,85.07,Mkt&Fin,77.89,Placed,307281.0
84,F,51.81,Central,51.82,Central,Science,62.85,Comm&Mgmt,No,98.0,Mkt&HR,51.6,Not Placed,263802.0
85,M,68.74,Others,37.0,Central,Commerce,85.57,Comm&Mgmt,No,98.0,Mkt&HR,66.47,Not Placed,
86,M,60.63,Central,62.94,Central,Science,91.0,Comm&Mgmt,No,84.33,Mkt&HR,69.36,Not Placed,214201.0
87,M,55.37,Central,67.3,Central,Arts,52.75,Sci&Tech,No,96.31,Mkt&Fin,77.89,Placed,
88,M,62.52,Others,67.08,Central,Commerce,65.55,Comm&Mgmt,No,80.82,Mkt&HR,57.12,Not Placed,
89,F,48.68,Others,55.09,Others,Science,69.25,Comm&Mgmt,No,83.8,Mkt&Fin,66.05,Placed,306893.0
90,M,47.34,Others,58.0,Central,Commerce,64.41,Sci&Tech,Yes,74.05,Mkt&HR,77.89,Not Placed,
91,M,88.4,Others,37.0,Central,Science,73.31,Comm&Mgmt,No,98.0,Mkt&HR,62.93,Not Placed,273300.0
92,M,88.92,Central,58.53,Central,Science,91.0,Comm&Mgmt,Yes,98.0,Mkt&Fin,71.35,Placed,200000.0
93,M,40.89,Central,82.18,Others,Science,81.74,Sci&Tech,No,69.48,Mkt&HR,72.49,Placed,248627.0
94,M,85.05,Others,46.91,Central,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,67.87,Not Placed,281798.0
95,M,46.11,Others,37.54,Central,Arts,79.44,Comm&Mgmt,No,97.3,Mkt&HR,55.23,Not Placed,
96,F,62.69,Others,37.0,Others,Science,65.53,Comm&Mgmt,No,98.0,Mkt&Fin,67.63,Not Placed,
97,M,52.07,Others,80.9,Others,Commerce,68.49,Comm&Mgmt,No,90.41,Mkt&HR,77.89,Placed,332358.0
98,M,40.89,Central,46.59,Central,Science,88.73,Comm&Mgmt,Yes,80.68,Mkt&Fin,60.6,Not Placed,
99,F,89.4,Others,87.11,Central,Science,79.67,Others,No,98.0,Mkt&Fin,59.21,Placed,
100,M,66.01,Central,83.58,Others,Commerce,51.04,Comm&Mgmt,No,83.04,Mkt&HR,77.5,Placed,332740.0
101,M,61.9,Others,51.81,Central,Commerce,69.58,Sci&Tech,No,65.53,Mkt&HR,51.21,Not Placed,257771.0
102,F,89.4,Others,60.61,Central,Arts,79.01,Comm&Mgmt,No,80.51,Mkt&HR,77.01,Placed,
103,M,44.11,Central,51.53,Central,Commerce,91.0,Comm&Mgmt,No,93.29,Mkt&Fin,60.07,Not Placed,253171.0
104,M,51.78,Others,72.83,Central,Commerce,60.61,Others,No,98.0,Mkt&Fin,68.64,Not Placed,287632.0
105,M,54.51,Others,63.26,Others,Commerce,78.04,Comm&Mgmt,No,98.0,Mkt&Fin,56.64,Placed,313527.0
106,M,69.68,Others,64.42,Others,Science,71.66,Sci&Tech,No,52.23,Mkt&HR,77.89,Not Placed,
107,M,69.34,Central,82.85,Others,Commerce,91.0,Comm&Mgmt,Yes,98.0,Mkt&HR,63.18,Placed,336424.0
108,M,40.89,Others,43.11,Others,Arts,50.0,Comm&Mgmt,No,98.0,Mkt&HR,70.23,Not Placed,284270.0
109,M,81.58,Others,86.28,Central,Science,65.1,Comm&Mgmt,No,98.0,Mkt&HR,65.58,Placed,302095.0
110,M,85.36,Others,56.62,Central,Commerce,53.37,Comm&Mgmt,No,71.56,Mkt&Fin,70.19,Placed,
111,M,58.59,Others,83.86,Central,Science,84.43,Comm&Mgmt,No,88.23,Mkt&Fin,58.65,Placed,248914.0
112,M,66.01,Central,70.08,Central,Commerce,80.96,Comm&Mgmt,No,50.8,Mkt&Fin,74.7,Not Placed,
113,M,84.96,Others,73.32,Others,Science,60.47,Comm&Mgmt,No,74.81,Mkt&Fin,62.17,Placed,
114,M,65.2,Others,70.13,Others,Science,74.19,Comm&Mgmt,No,98.0,Mkt&HR,68.98,Placed,
115,M,77.65,Others,37.0,Others,Commerce,91.0,Comm&Mgmt,No,93.05,Mkt&Fin,75.06,Not Placed,200000.0
116,M,50.74,Others,75.56,Others,Commerce,86.26,Sci&Tech,Yes,98.0,Mkt&Fin,61.22,Placed,291248.0
117,M,70.73,Central,77.35,Central,Commerce,81.27,Sci&Tech,No,77.26,Mkt&Fin,63.91,Not Placed,213989.0
118,M,40.89,Others,49.73,Central,Science,62.95,Comm&Mgmt,Yes,72.28,Mkt&HR,58.96,Not Placed,
119,M,89.4,Central,75.67,Central,Science,83.66,Sci&Tech,No,98.0,Mkt&Fin,72.01,Placed,205888.0
120,M,77.2,Others,94.95,Others,Science,67.44,Comm&Mgmt,No,78.64,Mkt&Fin,58.46,Not Placed,
121,M,43.73,Others,49.11,Central,Science,61.12,Others,Yes,50.0,Mkt&HR,77.89,Not Placed,
122,F,68.34,Others,59.82,Others,Science,71.1,Comm&Mgmt,No,81.13,Mkt&HR,61.51,Placed,268010.0
123,M,58.04,Others,86.18,Central,Science,82.63,Comm&Mgmt,No,88.43,Mkt&Fin,72.21,Placed,
124,M,59.73,Others,77.71,Others,Science,66.17,Comm&Mgmt,No,98.0,Mkt&Fin,61.57,Placed,200000.0
125,M,72.53,Central,66.84,Central,Science,84.86,Comm&Mgmt,Yes,98.0,Mkt&Fin,74.11,Placed,
126,F,82.55,Others,76.47,Others,Science,70.65,Comm&Mgmt,No,98.0,Mkt&Fin,61.31,Placed,317870.0
127,M,83.0,Others,71.86,Others,Commerce,71.6,Comm&Mgmt,Yes,61.75,Mkt&HR,77.89,Placed,305967.0
128,M,87.61,Central,53.48,Central,Commerce,91.0,Comm&Mgmt,Yes,69.65,Mkt&Fin,52.04,Not Placed,256814.0
129,F,84.34,Others,73.59,Others,Science,81.36,Comm&Mgmt,Yes,98.0,Mkt&Fin,74.27,Placed,280086.0
130,M,40.89,Central,78.42,Central,Science,59.59,Sci&Tech,No,71.46,Mkt&Fin,57.57,Not Placed,210010.0
131,M,48.88,Central,50.84,Others,Commerce,50.0,Comm&Mgmt,No,68.98,Mkt&HR,71.11,Not Placed,
132,M,85.94,Central,55.63,Central,Science,83.85,Comm&Mgmt,No,83.02,Mkt&HR,57.2,Placed,
133,M,82.67,Central,58.7,Central,Science,91.0,Comm&Mgmt,No,98.0,Mkt&Fin,67.6,Placed,294328.0
134,M,66.0,Central,61.14,Others,Science,71.5,Comm&Mgmt,No,51.81,Mkt&Fin,59.94,Not Placed,
135,M,82.12,Central,90.37,Others,Science,91.0,Comm&Mgmt,No,75.8,Mkt&Fin,61.89,Placed,200000.0
136,M,89.4,Others,39.93,Central,Commerce,83.7,Comm&Mgmt,No,98.0,Mkt&Fin,69.14,Placed,263956.0
137,M,85.5,Others,82.11,Central,Science,77.21,Comm&Mgmt,Yes,98.0,Mkt&HR,77.89,Placed,300444.0
138,M,56.85,Others,78.62,Others,Science,79.43,Comm&Mgmt,Yes,79.21,Mkt&HR,67.61,Not Placed,
139,M,81.71,Central,81.91,Central,Commerce,78.68,Comm&Mgmt,Yes,98.0,Mkt&Fin,69.86,Not Placed,245865.0
140,M,44.98,Central,64.11,Others,Science,50.39,Sci&Tech,No,81.78,Mkt&HR,66.29,Not Placed,
141,M,64.46,Others,40.11,Others,Science,60.43,Comm&Mgmt,No,86.09,Mkt&Fin,77.89,Placed,
142,M,40.89,Others,37.0,Central,Commerce,80.3,Comm&Mgmt,No,98.0,Mkt&Fin,71.1,Not Placed,296435.0
143,M,69.55,Others,56.05,Central,Science,50.0,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,
144,M,89.4,Others,65.07,Others,Arts,73.96,Comm&Mgmt,No,72.05,Mkt&Fin,75.98,Placed,319630.0
145,M,64.92,Central,87.11,Others,Science,73.35,Comm&Mgmt,No,98.0,Mkt&Fin,76.06,Placed,312968.0
146,M,40.89,Central,37.0,Others,Science,67.48,Comm&Mgmt,Yes,98.0,Mkt&Fin,68.41,Not Placed,
147,M,84.15,Others,91.07,Others,Science,66.95,Comm&Mgmt,Yes,98.0,Mkt&HR,77.18,Not Placed,264681.0
148,F,40.89,Others,75.77,Others,Commerce,61.46,Comm&Mgmt,No,82.37,Mkt&HR,75.93,Not Placed,299522.0
149,M,61.65,Central,67.99,Others,Science,85.13,Comm&Mgmt,Yes,89.86,Mkt&Fin,77.89,Not Placed,329590.0
150,F,83.56,Others,72.69,Others,Science,83.01,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,940000.0
151,F,82.22,Others,72.19,Others,Commerce,87.19,Comm&Mgmt,No,82.29,Mkt&Fin,66.41,Placed,940000.0
152,M,40.89,Central,50.17,Central,Science,70.99,Comm&Mgmt,Yes,71.84,Mkt&HR,66.92,Not Placed,
153,M,59.39,Central,37.09,Others,Science,73.51,Comm&Mgmt,No,98.0,Mkt&HR,72.78,Not Placed,294483.0
154,M,72.15,Others,87.15,Central,Science,50.77,Comm&Mgmt,No,77.3,Mkt&Fin,77.89,Not Placed,
155,M,89.4,Central,85.62,Central,Science,78.57,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,200000.0
156,F,40.89,Central,83.96,Others,Commerce,53.71,Comm&Mgmt,No,89.69,Mkt&HR,54.31,Not Placed,
157,M,40.89,Others,77.22,Others,Arts,66.4,Comm&Mgmt,No,55.22,Mkt&Fin,77.89,Not Placed,
158,M,73.3,Central,56.36,Central,Science,84.61,Sci&Tech,No,90.1,Mkt&HR,66.93,Not Placed,273007.0
159,M,89.4,Others,52.97,Others,Science,91.0,Sci&Tech,No,68.34,Mkt&Fin,70.21,Not Placed,
160,M,87.77,Others,55.87,Others,Science,91.0,Comm&Mgmt,Yes,98.0,Mkt&Fin,70.73,Not Placed,218850.0
161,M,68.62,Central,60.7,Others,Science,61.2,Sci&Tech,No,97.7,Mkt&HR,69.08,Not Placed,329115.0
162,M,66.53,Central,89.94,Others,Science,55.98,Comm&Mgmt,Yes,83.3,Mkt&HR,77.41,Placed,
163,M,42.94,Others,40.86,Central,Science,70.08,Sci&Tech,Yes,89.75,Mkt&Fin,77.41,Placed,
164,M,48.77,Others,55.42,Others,Science,50.0,Comm&Mgmt,No,97.3,Mkt&HR,74.8,Not Placed,
165,M,60.25,Central,55.07,Central,Commerce,61.7,Sci&Tech,No,98.0,Mkt&Fin,67.63,Not Placed,
166,M,40.89,Central,45.49,Central,Commerce,81.77,Comm&Mgmt,No,53.33,Mkt&HR,76.89,Not Placed,
167,M,82.28,Others,86.52,Others,Science,81.24,Sci&Tech,No,88.84,Mkt&HR,75.94,Not Placed,
168,M,84.43,Central,69.34,Others,Commerce,73.15,Comm&Mgmt,No,81.56,Mkt&HR,64.94,Placed,
169,M,89.4,Others,66.02,Central,Commerce,91.0,Comm&Mgmt,Yes,75.18,Mkt&Fin,77.89,Not Placed,
170,M,89.4,Central,92.99,Central,Arts,50.0,Comm&Mgmt,No,98.0,Mkt&Fin,67.79,Placed,320625.0
171,M,76.39,Central,89.06,Others,Commerce,51.82,Sci&Tech,No,98.0,Mkt&Fin,77.61,Not Placed,
172,M,74.22,Central,57.35,Others,Science,81.95,Comm&Mgmt,Yes,93.07,Mkt&Fin,71.27,Placed,256362.0
173,M,43.34,Central,86.59,Central,Science,57.66,Comm&Mgmt,No,98.0,Mkt&HR,58.69,Not Placed,304335.0
174,M,54.82,Central,37.0,Central,Science,57.88,Comm&Mgmt,Yes,98.0,Mkt&HR,61.1,Not Placed,253814.0
175,M,76.39,Others,60.65,Others,Science,80.66,Comm&Mgmt,No,98.0,Mkt&HR,73.34,Not Placed,221716.0
176,M,88.48,Central,85.21,Others,Science,72.31,Comm&Mgmt,No,98.0,Mkt&HR,77.89,Not Placed,326430.0
177,M,89.4,Central,42.09,Others,Science,66.19,Comm&Mgmt,Yes,80.34,Mkt&HR,77.89,Not Placed,321009.0
178,M,58.75,Central,56.39,Others,Commerce,72.98,Comm&Mgmt,No,98.0,Mkt&Fin,65.7,Placed,
179,M,88.27,Central,80.87,Others,Science,55.47,Comm&Mgmt,Yes,98.0,Mkt&HR,57.64,Placed,
180,M,55.47,Central,57.08,Others,Arts,76.36,Comm&Mgmt,Yes,98.0,Mkt&Fin,77.89,Not Placed,266791.0
181,M,85.06,Others,69.82,Others,Commerce,71.98,Comm&Mgmt,No,98.0,Mkt&Fin,77.89,Not Placed,940000.0
182,M,48.54,Others,80.02,Central,Science,69.64,Comm&Mgmt,No,69.67,Mkt&HR,75.93,Not Placed,
183,M,73.83,Others,68.1,Others,Commerce,72.21,Comm&Mgmt,Yes,77.03,Mkt&HR,70.28,Placed,
184,F,77.97,Others,81.59,Central,Commerce,78.79,Sci&Tech,No,97.72,Mkt&Fin,65.43,Not Placed,
185,F,56.93,Others,66.88,Central,Science,57.28,Comm&Mgmt,Yes,73.01,Mkt&HR,64.01,Placed,
186,F,41.53,Others,60.22,Central,Commerce,76.85,Comm&Mgmt,No,98.0,Mkt&HR,74.94,Not Placed,317969.0
187,F,51.02,Others,48.47,Central,Science,58.7,Comm&Mgmt,No,66.04,Mkt&Fin,75.5,Placed,
188,M,70.73,Others,50.95,Central,Commerce,84.17,Comm&Mgmt,No,64.63,Mkt&HR,77.89,Not Placed,
189,F,89.4,Others,40.05,Central,Science,91.0,Sci&Tech,No,80.47,Mkt&Fin,58.26,Not Placed,329118.0
190,M,86.61,Others,75.23,Others,Science,62.01,Others,Yes,98.0,Mkt&HR,77.89,Placed,274205.0
191,M,89.4,Others,70.27,Central,Arts,76.41,Comm&Mgmt,Yes,94.35,Mkt&Fin,76.39,Placed,309078.0
192,M,84.83,Others,82.96,Central,Commerce,73.6,Comm&Mgmt,No,98.0,Mkt&HR,65.43,Placed,282265.0
193,M,40.89,Others,65.55,Central,Commerce,53.97,Comm&Mgmt,Yes,81.62,Mkt&HR,77.89,Placed,
194,M,69.67,Central,61.92,Central,Commerce,80.74,Sci&Tech,No,98.0,Mkt&HR,66.4,Not Placed,306578.0
195,M,68.66,Others,48.27,Others,Science,82.12,Comm&Mgmt,No,79.34,Mkt&HR,69.75,Placed,200000.0
196,F,64.49,Central,75.92,Others,Commerce,65.16,Comm&Mgmt,Yes,98.0,Mkt&HR,56.63,Placed,
197,M,81.97,Others,60.05,Others,Science,91.0,Comm&Mgmt,No,98.0,Mkt&HR,66.89,Not Placed,
198,M,66.27,Central,58.54,Central,Commerce,77.77,Comm&Mgmt,No,98.0,Mkt&Fin,71.52,Not Placed,333649.0
199,M,85.35,Others,97.7,Central,Science,79.09,Sci&Tech,Yes,79.02,Mkt&Fin,67.26,Placed,271083.0
200,M,40.89,Central,50.41,Central,Science,54.17,Comm&Mgmt,No,85.04,Mkt&HR,77.89,Not Placed,
201,M,82.95,Central,63.48,Central,Science,85.44,Comm&Mgmt,No,98.0,Mkt&Fin,73.32,Placed,295390.0
202,M,69.74,Central,54.1,Central,Science,79.89,Comm&Mgmt,No,81.32,Mkt&Fin,77.89,Placed,292030.0
203,M,40.89,Central,58.82,Others,Science,65.34,Comm&Mgmt,No,98.0,Mkt&Fin,77.38,Not Placed,290096.0
204,M,54.7,Others,43.76,Central,Commerce,78.79,Comm&Mgmt,No,98.0,Mkt&Fin,65.45,Not Placed,
205,M,60.8,Others,64.01,Others,Science,70.23,Sci&Tech,No,97.0,Mkt&Fin,63.42,Not Placed,270838.0
206,M,40.89,Others,62.96,Others,Commerce,70.73,Comm&Mgmt,No,98.0,Mkt&Fin,68.08,Not Placed,
207,M,58.55,Others,51.06,Others,Science,84.2,Others,No,76.28,Mkt&Fin,68.28,Not Placed,304584.0
208,M,85.4,Central,62.65,Others,Arts,85.37,Comm&Mgmt,Yes,70.6,Mkt&Fin,64.07,Placed,251916.0
209,F,85.17,Others,78.06,Others,Science,87.03,Comm&Mgmt,No,78.84,Mkt&Fin,65.97,Not Placed,541136.0
210,M,56.83,Others,46.65,Others,Arts,53.78,Comm&Mgmt,No,57.71,Mkt&Fin,59.92,Not Placed,252888.0
211,M,41.08,Central,48.95,Central,Commerce,83.79,Comm&Mgmt,No,76.57,Mkt&HR,77.89,Placed,305768.0
212,M,89.4,Others,49.91,Others,Science,81.82,Comm&Mgmt,No,74.23,Mkt&Fin,77.89,Placed,280371.0
213,M,40.89,Others,73.67,Others,Science,50.0,Comm&Mgmt,No,74.75,Mkt&Fin,58.17,Not Placed,252902.0
214,M,89.4,Others,47.17,Central,Commerce,85.23,Comm&Mgmt,No,98.0,Mkt&HR,71.84,Placed,
215,M,72.49,Others,46.01,Central,Science,61.46,Comm&Mgmt,No,72.57,Mkt&Fin,77.89,Not Placed,
216,M,42.95,Central,90.84,Central,Commerce,65.23,Comm&Mgmt,No,98.0,Mkt&HR,70.31,Not Placed,224810.0
217,M,68.74,Central,74.64,Central,Commerce,72.02,Comm&Mgmt,No,98.0,Mkt&Fin,60.56,Not Placed,200000.0
218,M,73.36,Central,37.0,Others,Science,57.36,Comm&Mgmt,Yes,79.55,Mkt&HR,77.89,Not Placed,300714.0
219,M,76.6,Others,62.83,Others,Science,53.89,Comm&Mgmt,Yes,98.0,Mkt&HR,74.92,Not Placed,
220,M,49.17,Others,37.0,Others,Science,74.45,Comm&Mgmt,No,98.0,Mkt&HR,67.68,Not Placed,
